feature,importance
capex_bess_2050_mean,0.6892816690926372
discount_rate_batt_2050,0.11791227932686782
gas_price_2050_median_nonzero,0.07794728109927247
capex_nuc_2050_mean,0.055794848484614724
capex_solar_2050_mean,0.041091775141157916
discount_rate_global,0.017972146855449893
capex_geo_2050_mean,0.0
capex_wind_2050_mean,0.0
discount_rate_idv_mean,0.0
