mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.003121185302734375,0.0003827475484440222,0.0017107486724853515,0.0005063214841195981,balanced,gini,2,1,2,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 42}",0.6,0.6666666666666666,0.4666666666666667,0.5,0.7333333333333334,0.5933333333333334,0.09977753031397177,8,0.7,0.823076923076923,0.8211538461538461,0.7,0.7615384615384615,0.7611538461538462,0.05461538461538462
0.006021833419799805,0.005545111219915748,0.002250528335571289,0.0005024533530089669,balanced,gini,2,1,5,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'random_state': 42}",0.6,0.6666666666666666,0.4666666666666667,0.5,0.7333333333333334,0.5933333333333334,0.09977753031397177,8,0.7,0.823076923076923,0.8211538461538461,0.7,0.7615384615384615,0.7611538461538462,0.05461538461538462
0.0036150455474853516,0.0018170317520810417,0.0037277698516845702,0.004687072932765199,balanced,gini,2,1,10,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 42}",0.6,0.6666666666666666,0.4666666666666667,0.5,0.7333333333333334,0.5933333333333334,0.09977753031397177,8,0.7,0.823076923076923,0.8211538461538461,0.7,0.7615384615384615,0.7611538461538462,0.05461538461538462
0.0033045291900634767,0.002150831362901659,0.001907205581665039,0.001812770449512877,balanced,gini,2,2,2,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 42}",0.6,0.6666666666666666,0.4666666666666667,0.5,0.7333333333333334,0.5933333333333334,0.09977753031397177,8,0.7,0.823076923076923,0.8211538461538461,0.7,0.7615384615384615,0.7611538461538462,0.05461538461538462
0.001812887191772461,0.00024078196256316676,0.001609468460083008,0.0008082582617741981,balanced,gini,2,2,5,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 5, 'random_state': 42}",0.6,0.6666666666666666,0.4666666666666667,0.5,0.7333333333333334,0.5933333333333334,0.09977753031397177,8,0.7,0.823076923076923,0.8211538461538461,0.7,0.7615384615384615,0.7611538461538462,0.05461538461538462
0.001303720474243164,0.0004041226114023238,0.0016167640686035156,0.0005922209889206634,balanced,gini,2,2,10,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 42}",0.6,0.6666666666666666,0.4666666666666667,0.5,0.7333333333333334,0.5933333333333334,0.09977753031397177,8,0.7,0.823076923076923,0.8211538461538461,0.7,0.7615384615384615,0.7611538461538462,0.05461538461538462
0.0016141414642333984,0.0004944783719288026,0.001214885711669922,0.00039249444079700015,balanced,gini,2,5,2,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 5, 'min_samples_split': 2, 'random_state': 42}",0.475,0.5666666666666667,0.3,0.5,0.6333333333333333,0.49499999999999994,0.11200198410940962,97,0.7,0.7211538461538461,0.7692307692307692,0.7,0.7115384615384616,0.7203846153846154,0.025674337335813275
0.002408456802368164,0.0008061577774748651,0.0013996124267578124,0.00048747866578308216,balanced,gini,2,5,5,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 5, 'min_samples_split': 5, 'random_state': 42}",0.475,0.5666666666666667,0.3,0.5,0.6333333333333333,0.49499999999999994,0.11200198410940962,97,0.7,0.7211538461538461,0.7692307692307692,0.7,0.7115384615384616,0.7203846153846154,0.025674337335813275
0.0017019748687744141,0.0003986218497902013,0.0012073516845703125,0.0002488332574719166,balanced,gini,2,5,10,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 5, 'min_samples_split': 10, 'random_state': 42}",0.475,0.5666666666666667,0.3,0.5,0.6333333333333333,0.49499999999999994,0.11200198410940962,97,0.7,0.7211538461538461,0.7692307692307692,0.7,0.7115384615384616,0.7203846153846154,0.025674337335813275
0.0016082286834716796,0.0005882662853561357,0.0010055065155029296,7.45240189226023e-06,balanced,gini,2,10,2,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 2, 'random_state': 42}",0.65,0.5666666666666667,0.4666666666666667,0.6333333333333333,0.6333333333333333,0.5900000000000001,0.06798692684790379,14,0.6666666666666667,0.7211538461538461,0.7461538461538462,0.7076923076923077,0.6865384615384615,0.7056410256410256,0.027459251981711622
0.0015242576599121093,0.0004485091477521447,0.0009849071502685547,0.0006069177467815682,balanced,gini,2,10,5,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 5, 'random_state': 42}",0.65,0.5666666666666667,0.4666666666666667,0.6333333333333333,0.6333333333333333,0.5900000000000001,0.06798692684790379,14,0.6666666666666667,0.7211538461538461,0.7461538461538462,0.7076923076923077,0.6865384615384615,0.7056410256410256,0.027459251981711622
