Scen_fut,capex_geo_2050_mean,gas_price_2050_median_nonzero,capex_nuc_2050_mean,capex_bess_2050_mean,capex_solar_2050_mean,capex_wind_2050_mean,discount_rate_global,discount_rate_idv_mean,discount_rate_batt_2050,gas_cap_2050,no_gas_2050
Scenario1_29,3488.9646078227424,10.0631373788,6707.033274164,815.6908850348,1512.3500976799,1512.3500976799,0.093,2631.621418363832,0.0518164891,0.0,1
Scenario1_30,3563.289325976457,14.8155152338,5984.5251717315,1143.2206919154,650.4849579153,650.4849579153,0.077,2631.6305280373626,0.0692047367,1.0623206395876132,0
Scenario1_31,3674.9009876623427,10.2798444064,5458.2698603552,1136.4166043154,1124.3279932846,1124.3279932846,0.141,2631.638421290301,0.0842711204,1.3428711641343245,0
Scenario1_32,3527.1548554907,17.8396359791,5643.0939640495,742.2353558269,900.2924944051,900.2924944051,0.119,2631.6202531789877,0.0495924223,0.0,1
Scenario1_33,3493.315578484114,9.6645597622,7082.6083847092,1006.4385867589,1472.1976987854,1472.1976987854,0.079,2631.652815499596,0.1117463174,0.8084508767686962,0
Scenario1_34,3573.918616513614,11.2829750809,4980.1214222979,713.5496306736,1611.5973243082,1611.5973243082,0.124,2631.6293385421827,0.0669342671,0.0,1
Scenario1_35,3494.602996426271,10.9802732234,4377.826810022,694.0439865693,1068.4987014432,1068.4987014432,0.086,2631.626624612448,0.0617540066,0.0,1
Scenario1_36,3602.6447468621423,8.8248262494,5329.7003556244,508.3331610691,919.0020414047,919.0020414047,0.143,2631.622328092808,0.0535529501,0.0,1
Scenario1_37,3518.1000679707286,11.6552998299,4946.8119724659,783.5971866468,1028.2049071738,1028.2049071738,0.093,2631.635405945891,0.0785155294,0.0,1
Scenario1_38,3667.5664678315575,10.0379994822,7028.1711887236,930.4399386838,1562.4910784033,1562.4910784033,0.098,2631.662690372834,0.1305951533,0.2180530637427623,0
Scenario1_39,3481.3768071761574,10.9180205944,7549.3264863511,525.1684271122,661.382342007,661.382342007,0.077,2631.6207718564438,0.0505824569,0.0,1
Scenario1_40,3615.061943097843,7.9802309976,6591.5819560562,800.6251888507,1222.1925062352,1222.1925062352,0.096,2631.6349780058545,0.0776986914,0.0,1
Scenario1_41,3525.1062343263716,16.4139284267,6865.3199570996,470.0528583014,635.6298647612,635.6298647612,0.142,2631.6519540045824,0.1101019239,0.0,1
Scenario1_42,3505.986145231857,17.3296921011,4466.1975633641,474.6304967187,694.5632335698,694.5632335698,0.089,2631.6549469228157,0.1158147085,0.0,1
Scenario1_43,3654.7347774545997,16.0605961944,5254.9401734706,757.6072998756,950.3768506646,950.3768506646,0.085,2631.6308268566463,0.0697751132,0.0,1
Scenario1_44,3515.6223609310573,8.542723602,5012.7311610398,446.9247612407,1683.2004640182,1683.2004640182,0.145,2631.6267429007853,0.0619797915,0.0,1
Scenario1_45,3501.468881462228,15.7594741952,4716.9873577145,1170.1830910827,593.2923695264,593.2923695264,0.108,2631.644033672428,0.0949838523,3.577584940129872,0
Scenario1_46,3495.4246933514,10.1769970615,7135.3300746437,1073.0856210876,1387.8319530383,1387.8319530383,0.081,2631.6270316707996,0.0625309863,3.4991151977454047,0
Scenario1_47,3629.1715305023426,17.2420051289,4081.7068414788,786.088641176,1580.6142928442,1580.6142928442,0.138,2631.628444028086,0.0652268478,0.0,1
Scenario1_48,3624.5252664043715,7.4584709847,5136.0521576487,912.9544010843,876.1432390251,876.1432390251,0.077,2631.634628817261,0.0770321716,0.2925834539122892,0
Scenario1_49,3547.6903421602,14.6555821299,7541.9963422426,977.4636791643,1407.1324907606,1407.1324907606,0.141,2631.649235739221,0.1049133876,0.290043935661111,0
Scenario1_50,3526.043823974714,7.1317923189,6372.7965261427,487.6881793401,1002.5220469319,1002.5220469319,0.092,2631.6177840771347,0.0448794812,0.0,1
Scenario1_51,3473.639511080771,17.4625679005,6598.1432403632,950.8893928935,1534.0304221231,1534.0304221231,0.112,2631.645510552565,0.0978028729,0.1611248354720045,0
Scenario1_52,3510.369689674471,7.8398854501,4539.3193442603,646.8454118083,1690.059745885,1690.059745885,0.095,2631.642020291982,0.0911407774,0.0,1
Scenario1_53,3553.1145618801997,11.5109999804,6480.3782125636,408.5420172451,733.1538786844,733.1538786844,0.073,2631.6328714973597,0.0736778567,0.0,1
Scenario1_54,3624.0289006839425,8.0474590264,5162.7381791302,633.6418960703,849.0786533457,849.0786533457,0.104,2631.630213230612,0.0686038439,0.0,1
Scenario1_55,3483.9389166784713,15.2803426619,4353.2435844175,789.2781356565,582.2852917498,582.2852917498,0.106,2631.620457136064,0.0499817289,0.0,1
Scenario1_56,3478.4500318158425,8.8958845883,5504.3058913503,497.1106786855,1348.9401790924,1348.9401790924,0.102,2631.6188314099854,0.046878596,0.0,1
Scenario1_57,3643.6446363432997,10.4228717675,7579.9578279694,684.8282616075,1548.4509428722,1548.4509428722,0.098,2631.644999070308,0.0968265722,0.0,1
Scenario1_58,3637.975238824671,10.6804291115,5100.5710845269,1117.7393235373,1036.8446899489,1036.8446899489,0.08,2631.648531047112,0.1035682943,7.061950143002429,0
Scenario1_59,3666.9399300532855,9.4852636473,5542.9045536051,512.9618471907,1302.2246520637,1302.2246520637,0.129,2631.644265184978,0.0954257559,0.0,1
Scenario1_60,3500.2970534963997,14.1940658862,5230.1106808735,595.9063747881,1214.2468575376,1214.2468575376,0.121,2631.631565528115,0.0711850652,0.0,1
Scenario1_61,3579.0844179088713,7.050708429,4586.2790586706,708.2017959275,752.1627742557,752.1627742557,0.128,2631.622567920036,0.0540107245,0.0,1
Scenario1_62,3593.908467716571,7.2795543375,6513.9591173848,428.4949065526,1060.80576995,1060.80576995,0.107,2631.628342672521,0.0650333836,0.0,1
Scenario1_63,3506.6472182844286,7.9817671305,5308.176192461,777.6830163757,1415.8092919309,1415.8092919309,0.084,2631.663285975883,0.1317320209,0.5392113243949599,0
Scenario1_64,3600.858400551814,7.5294508421,5301.5239261783,1059.6004541389,629.5802646446,629.5802646446,0.076,2631.6560542816956,0.117928399,0.852086457499639,0
