Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,AnnualVariableOperatingCost,TotalCapacityAnnual,NewCapacity,CapitalInvestment,AnnualFixedOperatingCost,CapitalInvestmentStorage,AnnualTechnologyEmission,TotalTechnologyAnnualActivity,Scen_fut
Scenario1,0,RE1,,BACKSTOP,,2022,,,,,,,,,,0.0,,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2022,,,,,,,,,,,,,,102.41844435365478,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2022,,,,,,,,,,,,,,,,,0.0,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2023,,,,,,,,,,,,0.1277371053923321,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2023,,,,,,,,,,,0.1277371053923321,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2023,,,,,,,,,,,,,12773.582802127828,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2023,,,,,,,,,,0.0,,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2023,,,,,,,,,,,,,,127.60936828693984,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2023,,,,,,,,,,,,,,,,,0.0,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2024,,,,,,,,,,,,0.1604986164437321,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2024,,,,,,,,,,,0.1604986164437321,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2024,,,,,,,,,,,,,16049.701145756771,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2024,,,,,,,,,,0.0,,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2024,,,,,,,,,,,,,,160.3381178272884,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2024,,,,,,,,,,,,,,,,,0.0,Scenario1_0
