mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_random_state,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0.007954120635986328,0.0013880729675292969,0.006581544876098633,0.0009818077087402344,balanced,gini,3,2,5,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'random_state': 42}",0.1,0.875,0.4875,0.3875,101,0.875,0.9,0.8875,0.012500000000000011
0.003577709197998047,1.0013580322265625e-05,0.0027681589126586914,0.0007938146591186523,balanced,gini,3,2,10,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.006109476089477539,0.003077983856201172,0.0043451786041259766,0.0017237663269042969,balanced,gini,3,5,2,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 2, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.007321476936340332,0.0003598928451538086,0.005787968635559082,0.0011736154556274414,balanced,gini,3,5,5,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 5, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.0068242549896240234,0.0007944107055664062,0.010122179985046387,0.0004979372024536133,balanced,gini,3,5,10,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 10, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.004807949066162109,0.0017795562744140625,0.00401914119720459,0.00201261043548584,balanced,gini,3,10,2,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 2, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.005274415016174316,0.0022982358932495117,0.00334012508392334,0.0023092031478881836,balanced,gini,3,10,5,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 5, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.002292037010192871,0.00028955936431884766,0.002098560333251953,0.00048232078552246094,balanced,gini,3,10,10,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 10, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.002452254295349121,0.0004502534866333008,0.00151824951171875,0.0004799365997314453,balanced,gini,4,1,2,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 42}",0.2,1.0,0.6,0.4,1,1.0,1.0,1.0,0.0
0.0030341148376464844,4.76837158203125e-07,0.0014996528625488281,0.0004975795745849609,balanced,gini,4,1,5,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 5, 'random_state': 42}",0.2,1.0,0.6,0.4,1,1.0,1.0,1.0,0.0
0.0030508041381835938,0.0005006790161132812,0.0015118122100830078,0.00048613548278808594,balanced,gini,4,1,10,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.0025447607040405273,1.2993812561035156e-05,0.0015131235122680664,0.00048410892486572266,balanced,gini,4,2,2,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 42}",0.1,0.875,0.4875,0.3875,101,0.875,0.9,0.8875,0.012500000000000011
0.003083944320678711,0.00047016143798828125,0.0009707212448120117,2.753734588623047e-05,balanced,gini,4,2,5,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 5, 'random_state': 42}",0.1,0.875,0.4875,0.3875,101,0.875,0.9,0.8875,0.012500000000000011
0.004001140594482422,0.0010006427764892578,0.0017944574356079102,0.00020396709442138672,balanced,gini,4,2,10,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
0.002007007598876953,2.574920654296875e-05,0.002014636993408203,1.5020370483398438e-05,balanced,gini,4,5,2,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 2, 'random_state': 42}",0.5,0.5,0.5,0.0,21,0.5,0.5,0.5,0.0
