Scen_fut,gas_price_2050_median_nonzero,capex_bess_2050_mean,capex_solar_2050_mean,capex_wind_2050_mean,discount_rate_batt_2050,maxcap_geo006_2050_mean,discount_rate_solar_2050,discount_rate_wind_2050,discount_rate_impngs_2050,discount_rate_geo_2050,gas_cap_2050,no_gas_2050
Scenario1_52,4.9000349734,500.81554523,680.0210197901,1386.9048477752183,0.082688756,4.8103048971,0.0686611992,0.0664463218,0.0553641225,0.1538153255,0.0,0
Scenario1_53,5.2377761873,1006.724540619,75.4012142121,1851.4413055575817,0.1344776731,6.1603858757,0.1116644964,0.10806241590000001,0.0393891619,0.1466234092,5.051779836779122,1
Scenario1_54,4.074476837,972.8430870562,191.8789771673,930.1411373523181,0.1440876601,9.8572418116,0.1196442177,0.11578472680000002,0.0954837309,0.1634935819,3.8525485992044888,1
Scenario1_55,16.0468512286,992.3014452437,779.2123700896,2185.210471079709,0.0240186178,3.6042644064,0.0199440308,0.019300674999999996,0.0293969467,0.0864041238,8.269508222946612,1
Scenario1_56,16.2035408965,624.1884536885,122.6697687086,1908.909197628082,0.1669921534,5.4702383344,0.1386631274,0.1341901233,0.1347716128,0.2415686032,0.0,0
Scenario1_57,21.4755358775,409.5765661595,603.3286557705,1534.4820840974455,0.0777341602,5.1006700883,0.0645471151,0.06246495009999999,0.0642853831,0.2373803093,0.0,0
Scenario1_58,10.5262557824,510.3231135249,1205.5496615157,506.5486079011818,0.1673766509,6.8564510328,0.1389823976,0.1344990944,0.1824353559,0.0805937677,0.0,0
Scenario1_59,20.5396883711,204.8312106199,376.6265221914,864.7479449012455,0.1144234505,5.6840456826,0.0950123294,0.09194741559999998,0.0640158325,0.1669361288,0.0,0
Scenario1_60,18.9336724849,514.4811183565,1128.5069566258,1938.3618699063998,0.0475894853,10.2268142331,0.0395162691,0.03824155070000001,0.1776945154,0.1544705368,0.0,0
Scenario1_61,10.2703853732,750.6188304918,563.3701381066,1429.912216918718,0.1773631577,6.1097824661,0.1472747649,0.14252396599999997,0.1580088737,0.1867129468,0.0,0
Scenario1_62,10.1813692165,908.005595712,454.6530035288,634.0339498667819,0.0657145243,9.3585260546,0.0545665247,0.05280631420000001,0.2162417524,0.1923675308,0.0,0
Scenario1_63,20.4908909258,435.2069704494,330.0130318088,1022.9902320539818,0.1569573234,5.5058540206,0.1303306346,0.12612642059999998,0.1254337183,0.2669339405,0.0,0
Scenario1_64,14.8432343182,105.8193185144,859.5029955056,617.9555570489728,0.0626458386,8.1228056498,0.0520184196,0.050340406,0.1300082128,0.1168305253,0.0,0
Scenario1_65,6.1862643818,444.5556277775,1302.5622301926,574.4795000658727,0.0690991978,9.4820904573,0.0573770125,0.0555261411,0.2245449172,0.1026947978,0.0,0
Scenario1_66,13.9575124465,323.7940880417,606.1302111534,1199.4861749534275,0.0957337519,6.5681222843,0.0794932047,0.07692890779999999,0.0965560087,0.2721597986,0.0,0
Scenario1_67,20.3526995601,1013.2579867766,1204.6287068563,1630.3960477211456,0.1906856302,3.6334695439,0.1583371751,0.15322952419999997,0.1511642415,0.1796115741,8.885976148106549,1
Scenario1_68,13.0871498803,480.1151231509,1019.7448475963,1367.1908775232907,0.0250959203,5.2424684336,0.0208385767,0.020166364500000002,0.2065039531,0.2264272512,0.0,0
Scenario1_69,11.9963855703,718.2107862575,1165.0714864841,1029.5826642018,0.1777039276,10.0493556628,0.1475577256,0.142797799,0.1481024261,0.0285952541,0.0,0
Scenario1_70,15.0166069629,428.8441075474,829.3842927445,2067.5787042464817,0.1652638577,3.9959470568,0.1372280247,0.1328013142,0.1440204547,0.2281263713,0.0,0
Scenario1_71,6.4099281383,700.091513554,520.7837177079,1188.6909954097273,0.1924392402,7.2056673283,0.1597932977,0.1546386752,0.1163972374,0.1292167412,0.0,0
Scenario1_72,14.187242596,659.9444723056,905.6694076958,1270.892802963982,0.0534557877,9.5944347944,0.0443873952,0.042955543699999994,0.1917935343,0.2387165892,0.0,0
Scenario1_73,17.0169343805,545.3609537035,431.0985292895,1598.7507536568182,0.1758101398,7.3826410652,0.1459852053,0.14127600519999997,0.0336641625,0.2676714264,0.0,0
Scenario1_74,14.5061530632,122.0416947703,1132.3942797655,989.7960229052728,0.1829119468,6.8794134945,0.1518822416,0.14698281440000002,0.1487283818,0.1836730841,0.0,0
Scenario1_75,14.8903456156,346.2882856356,1248.1314981842,909.4506820414182,0.1682950022,8.2776384212,0.1397449572,0.1352370553,0.1192490938,0.0198864917,0.0,0
Scenario1_76,22.0051702012,328.3218973816,768.701507468,1130.8730976299455,0.0732299528,9.1314881138,0.0608070144,0.05884549780000001,0.2016493251,0.1354732808,0.0,0
Scenario1_77,13.8934057794,278.4295300101,1280.211479389,1975.0987256537178,0.1432268371,9.8371709652,0.1189294272,0.11509299410000001,0.1147123526,0.1997961592,0.0,0
Scenario1_78,16.899332172,572.0140139775,295.7299182562,1276.0246979044546,0.0384002424,10.2042910275,0.0318859155,0.030857337599999993,0.1497884144,0.0790533494,0.0,0
Scenario1_79,16.4723951253,302.9041384168,791.4459657684,1434.6576491454728,0.1284554031,8.6579556565,0.1066638615,0.10322309180000001,0.1740720747,0.2259628838,0.0,0
Scenario1_80,11.2226766526,805.0181569823,675.6171384555,1347.4155686905453,0.1537432003,8.8665783007,0.1276617645,0.12354364310000002,0.0410106787,0.0632258223,9.452516383090412,1
Scenario1_81,20.2356617844,794.1280237964,230.8224072312,868.8785636601453,0.1040545026,6.8110955745,0.0864023995,0.0836152253,0.0868680269,0.2574702721,0.0,0
Scenario1_82,7.8411464126,293.1982172775,660.3376213316,1987.4915806519455,0.0863962811,3.8658191803,0.0717397691,0.069425583,0.0769993508,0.1979815143,0.0,0
Scenario1_83,19.6817014593,137.7628939051,259.0898992992,1973.063968272836,0.1395461758,9.3429263921,0.1158731639,0.11213531989999997,0.1291339729,0.2543244844,0.0,0
Scenario1_84,17.130263455,169.5615791394,728.1230403807,1084.5388771301639,0.1860701304,4.1311988933,0.1545046619,0.1495206405,0.0317613957,0.0204092658,0.0,0
Scenario1_85,9.5259272686,191.3440874239,425.5705441895,745.8823750520091,0.1154153197,10.3808333562,0.0958359351,0.0927444533,0.172755995,0.130820859,0.0,0
Scenario1_86,18.8160210077,540.8814266634,191.0840138306,1282.8915925797091,0.0403108966,9.6749560532,0.033472441,0.03239268480000001,0.0695312294,0.2167435072,0.0,0
Scenario1_87,5.9727140775,517.6013525747,262.7364444718,1895.507356868882,0.1650766748,5.18374864,0.137072596,0.1326508994,0.2042671483,0.1974139052,0.0,0
Scenario1_88,6.8863453427,222.218826153,752.0727898533,1193.4250674396276,0.0328530884,10.2767261343,0.0272797966,0.026399803100000004,0.2056436817,0.1916067871,0.0,0
Scenario1_89,9.5634700675,868.2218490841,793.9548109636,1980.3241212378819,0.0523820858,9.662714129,0.0434958391,0.042092747500000006,0.0444989239,0.1567832573,1.532697126895341,1
Scenario1_90,18.1395649085,986.3948172604,440.7674131131,857.4655764212636,0.1337450171,6.94406876,0.1110561303,0.1074736745,0.1721053271,0.1311800218,0.0,0
Scenario1_91,11.8124790891,306.6302374125,248.4208458967,1555.7997792895,0.1097224681,7.0309294982,0.0911088351,0.08816984039999999,0.0824958789,0.1814729205,0.0,0
Scenario1_92,18.3449287408,289.4796716545,245.6729729056,1330.8108823699272,0.0651945119,7.479445934,0.0541347287,0.052388447100000006,0.0887751749,0.2081564066,0.0,0
Scenario1_93,16.7615219613,573.8112943634,285.2001600633,1845.541840526991,0.0306662196,7.9963132908,0.0254639145,0.0246424979,0.0307620276,0.1199773965,0.0,0
Scenario1_94,19.5387225904,650.6859510384,270.8852985702,1878.8767117908455,0.0594614034,8.6043192997,0.049374201,0.0477814848,0.1863092233,0.2593002893,0.0,0
Scenario1_95,9.6451589675,188.055148542,538.2539697023,1609.845996915,0.1228718918,5.6072780553,0.102027553,0.0987363417,0.0674876674,0.2790358037,0.0,0
Scenario1_96,20.1878539378,828.4039729623,102.299662915,1359.9549923358636,0.191404434,5.2806227807,0.158934039,0.15380713450000003,0.057111422,0.0573021125,7.349999674325055,1
Scenario1_97,19.9078744864,711.7052096017,1065.4258157831,1882.2276031253457,0.1084269107,4.6488187084,0.0900330598,0.0871287675,0.1462329829,0.2502651294,0.0,0
Scenario1_98,21.8661591631,272.4064657044,690.4700742107,1449.4532717889545,0.1891928757,4.9208919425,0.1570976557,0.15202998939999998,0.0236625291,0.2754289494,0.0,0
Scenario1_99,7.4633000707,321.5447010458,948.4309387289,669.3409593869272,0.057998709,4.7761943026,0.0481596423,0.04660610539999999,0.01970974,0.2684339188,0.0,0
Scenario1_100,6.7979283405,819.7892626871,125.2551328218,649.2422427317728,0.049812328,4.8889456936,0.0413620224,0.040027763599999995,0.0664196313,0.2114425436,0.0,0
Scenario1_101,11.3317450395,565.9323371961,268.9472519777,1327.0457543018,0.1494528166,5.9439272297,0.1240992138,0.12009601339999999,0.2103909442,0.0163252371,0.0,0
Scenario1_102,13.6601688102,246.5107620346,1171.2737753178,697.134805736391,0.0854546365,4.2162703016,0.0709578678,0.06866890429999999,0.184843616,0.2064292802,0.0,0
Scenario1_103,16.0587041256,631.8475470856,585.7173250194,1219.3412808728274,0.0411722071,5.0661271798,0.0341876363,0.033084809300000004,0.1905359823,0.1380861376,0.0,0
Scenario1_104,13.3518399521,732.5294059087,608.5151907609,2128.690260735573,0.1895227913,8.5822035182,0.1573716035,0.15229510019999998,0.101883455,0.277765608,0.0,0
Scenario1_105,11.1877628744,268.5423446941,85.9658355262,2159.9417005912455,0.1770729327,5.2037284336,0.1470337745,0.14229074950000004,0.1233375619,0.0843742266,0.0,0
Scenario1_106,8.4462011751,393.1718859637,678.0920066126,1856.2576894282545,0.0901253163,7.0129902621,0.0748362001,0.0724221291,0.1690977816,0.232873188,0.0,0
Scenario1_107,20.6252665669,560.8379733704,1212.8174909896,1641.8476060303817,0.031974421,4.1402714048,0.0265501888,0.025693731100000002,0.0327879555,0.2291229387,0.0,0
Scenario1_108,20.7856232904,519.3536477563,512.5519324571,1909.8661137860001,0.1176024797,5.2057430106,0.097652059,0.0945019926,0.1891004863,0.1840055649,0.0,0
Scenario1_109,7.1427045647,913.6113713688,419.2728378428,881.5062639812546,0.1107473146,4.8624241738,0.0919598237,0.08899337780000001,0.0428926988,0.2398348269,4.288448614420219,1
Scenario1_110,13.2596217073,387.8167110908,1001.6125333352,926.3929026672727,0.1202881187,3.5532800183,0.0998820986,0.0966600954,0.1105067345,0.1698591686,0.0,0
Scenario1_111,8.7018655263,227.7199680245,445.7828777089,1569.9644544020543,0.0217651111,3.9582908845,0.0180728154,0.017489821399999998,0.1774376398,0.0226706549,0.0,0
Scenario1_112,15.7476664547,840.1537266113,461.9622405698,1158.6677200162999,0.0708304911,5.0144939555,0.0588146042,0.056917358900000006,0.0923795572,0.0331863094,0.0,0
Scenario1_113,20.573145623,640.3664105824,552.8920782739,594.6118116288545,0.1666002817,3.6179667127,0.1383377339,0.13387522640000002,0.0815380398,0.1511451026,0.0,0
Scenario1_114,11.813279099,415.0080368573,549.2795223987,1044.493332472718,0.0864173779,6.260352358,0.071757287,0.06944253580000001,0.1723259114,0.1970839033,0.0,0
Scenario1_115,18.6795450993,977.555706828,485.701183172,576.1935695386819,0.0830773752,6.6242604238,0.0689838919,0.06675860509999999,0.0389576022,0.2612611204,8.350557144887057,1
Scenario1_116,21.7568692782,1002.5831738465,1261.5469597069,2037.8083191088363,0.0622556719,8.6814557679,0.0516944418,0.0500268792,0.1443323277,0.126247319,0.0,0
Scenario1_117,16.6523563304,206.7614639627,67.9536527296,1573.6596107781452,0.09827008,5.5240661166,0.0815992628,0.07896702850000001,0.138851167,0.2695820821,0.0,0
Scenario1_118,10.4660122026,866.54314172,1117.0664958269,757.8789988730819,0.0270549278,8.7112586025,0.0224652526,0.021740566999999995,0.2198659436,0.0324988699,0.0,0
Scenario1_119,22.3622395342,688.9528889883,1115.0471875074,1165.5009838554,0.0797832667,9.3938142867,0.0662486054,0.0641115536,0.1262482215,0.2038527033,0.0,0
Scenario1_120,7.8015990721,472.9203939881,542.7165859944,1305.159783503309,0.0751449843,4.3546600728,0.0623971745,0.0603843624,0.0223345772,0.1627893699,0.0,0
Scenario1_121,17.3544565572,811.2357739422,1239.5260849833,534.4431174676637,0.0642826684,5.7578058577,0.0533775729,0.05165571570000001,0.1016699031,0.0537654214,0.0,0
Scenario1_122,11.0662665926,881.0278292669,1294.2385055542,2131.449131048573,0.042164195,10.327823291,0.0350113405,0.03388194239999999,0.1837614336,0.0738882616,0.0,0
Scenario1_123,9.8640626829,682.3967020304,498.7269932742,1665.3086659004912,0.152887562,10.1548809766,0.1269512791,0.12285607659999999,0.1259929997,0.1877862025,0.0,0
Scenario1_124,20.0511356165,322.2422477237,876.8413943625,776.6318277381819,0.1611636198,4.5062717305,0.1338233629,0.12950648019999997,0.1935008388,0.2305344483,0.0,0
Scenario1_125,19.9516937439,350.0742965579,716.5276749432,2137.901582132746,0.0548039622,4.7304497928,0.0455068614,0.0440388982,0.0415501795,0.0291383944,0.0,0
Scenario1_126,16.3048903646,604.9864990576,407.2367993104,692.6812888172818,0.0348110906,5.0842525721,0.0289056377,0.027973197800000002,0.1997872623,0.2561122931,0.0,0
Scenario1_127,8.1068069361,487.2105181573,313.3300088872,1520.3361800337,0.1003002539,6.188209144,0.0832850323,0.08059841830000002,0.0199000532,0.1433178678,0.0,0
Scenario1_128,20.7471798445,726.7430081644,1188.4618569083,863.6687665931273,0.1349397344,6.190801577,0.1120481723,0.10843371520000002,0.1658867169,0.1949462438,0.0,0
Scenario1_129,8.9235154207,897.3048823149,736.8328801131,1074.6350133754636,0.0681150765,5.4019435786,0.0565598403,0.0547353293,0.1172172022,0.0578861303,0.0,0
Scenario1_130,20.9217086365,955.9587929744,998.9616460045,2089.5143531951635,0.111759025,9.9134497933,0.0927999047,0.08980635940000001,0.1629099808,0.0362011368,0.0,0
Scenario1_131,5.8521349126,783.576439732,925.9360851481,1253.875447330209,0.110428469,3.6981773797,0.091695068,0.08873716259999999,0.1540479022,0.0731640969,0.0,0
Scenario1_132,13.4924580589,211.5706803287,561.5717204999,2174.677651143055,0.1287269232,4.36072201,0.1068893202,0.1034412776,0.144578612,0.2765075597,0.0,0
Scenario1_133,7.0425446953,581.2791356812,377.8871870803,932.8178989537909,0.0335561538,4.0915141371,0.027863592,0.026964766400000003,0.2090391169,0.0191484249,0.0,0
Scenario1_134,21.6986305354,174.5485716882,221.6727023646,1090.5534883511543,0.1701398614,8.5963544483,0.1412768492,0.13671953150000002,0.0621558435,0.0696469823,0.0,0
Scenario1_135,10.0237409872,1009.5286213999,1174.3957877121,1823.3120825284184,0.0635785194,4.1003066109,0.0527928777,0.05108988159999999,0.1379499813,0.2728097074,0.0,0
Scenario1_136,19.7657253052,697.8849198757,932.7927245197,1484.2443871557725,0.0528534141,7.8054898351,0.0438872099,0.042471493500000006,0.1076652803,0.092828253,0.0,0
Scenario1_137,19.0840901365,332.6208900571,1225.6380127201,2071.5246416219725,0.0939026245,7.8271929338,0.077972715,0.07545746610000001,0.1189659593,0.1607620142,0.0,0
Scenario1_138,8.6619106836,595.4180446247,785.3988892663,1296.0697020074183,0.1157225128,5.9610851117,0.0960910151,0.0929913049,0.0519804663,0.2032996,0.0,0
Scenario1_139,18.1770319257,883.7012811067,1250.7675314351,614.8030603272999,0.0824308263,4.9879259397,0.0684470254,0.06623905679999999,0.0225093439,0.1124364867,0.0,0
Scenario1_140,10.2786186231,128.6369183112,1018.7663208476,1095.259816152791,0.1666941295,9.2441035259,0.1384156611,0.13395063980000002,0.0244031262,0.0607899222,0.0,0
Scenario1_141,4.2525279903,122.988666776,669.3501749791,2122.971129606173,0.0588829335,7.0030819788,0.0488938644,0.047316643,0.1922078261,0.1125460611,0.0,0
Scenario1_142,22.1399223594,113.2255626097,79.6133839035,715.1526040671273,0.0184329051,6.0255175598,0.0153058944,0.014812155800000002,0.0864207683,0.1213543034,0.0,0
Scenario1_143,10.6992306714,613.8137132887,403.6570671083,1501.387998650827,0.1455133616,5.7344267767,0.1208280591,0.11693037980000001,0.0272259669,0.2021628856,14.087714514030347,1
Scenario1_144,16.6470214662,882.6946997764,928.2050733716,734.1583142367182,0.0978455992,4.9072280154,0.0812467922,0.0786259279,0.049734303,0.2786939957,13.98756741022969,1
Scenario1_145,11.5347087336,372.5753263094,670.3558627853,946.4286223407909,0.1785075641,3.5860902822,0.1482250309,0.14344357830000004,0.129023796,0.2431578865,0.0,0
Scenario1_146,10.6658365491,616.0104587901,1076.2781672893,1394.207131456082,0.0511470553,6.6329235404,0.0424703227,0.0411003123,0.0894827185,0.2047529935,0.0,0
Scenario1_147,5.0999782715,980.7691010721,217.2002054556,1169.3602686885092,0.1845239724,5.7075540113,0.1532207985,0.1482781921,0.0276443235,0.1961374724,9.010021247481536,1
Scenario1_148,20.9482770375,385.441030074,90.2217115065,2091.403515676355,0.1210768907,9.8037329915,0.100537061,0.09729392999999999,0.1592277411,0.2456697677,0.0,0
Scenario1_149,14.7825059164,587.8481421939,1088.1949894728,2110.5091461385637,0.0235493871,8.2338462839,0.0195544018,0.0189236146,0.1857930235,0.1244220511,0.0,0
Scenario1_150,19.8218052117,853.5075179702,70.8753511655,1529.1648840273,0.1417397527,5.8233835946,0.1176946161,0.1138980155,0.1954930876,0.204355884,0.0,0
Scenario1_151,18.3242626525,610.1177473772,939.2519184295,1239.1997020116544,0.0417935898,8.7935144759,0.0347036058,0.0335841347,0.0467654058,0.0904878356,0.0,0
Scenario1_152,16.9196571247,335.7606914071,953.9128079262,1360.8830782301636,0.1579939494,8.0240832316,0.1311914044,0.1269594236,0.0760305105,0.2310356883,0.0,0
Scenario1_153,4.7867442529,448.3131290063,968.7642840297,522.7903293121454,0.141457689,5.0070289141,0.1174604025,0.11367135729999997,0.2255567727,0.2313723993,0.0,0
Scenario1_154,18.5347653386,315.2578997387,872.4984127543,2082.345225891982,0.1315148262,7.1666634963,0.1092042753,0.1056815568,0.0377588799,0.2424728212,0.0,0
Scenario1_155,13.2006508862,353.5509457104,194.2259040781,1494.8629187843544,0.1636429878,3.7118653651,0.1358821238,0.13149882949999997,0.0603743983,0.1179846562,0.0,0
