Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,AnnualTechnologyEmission,NewCapacity,TotalTechnologyAnnualActivity,TotalCapacityAnnual,AnnualVariableOperatingCost,CapitalInvestmentStorage,CapitalInvestment,AnnualFixedOperatingCost
Scenario1,0,RE1,,BESS_TECH,,2050,,,,,,,,,,,0.6929169473513459,,,,,,
Scenario1,0,RE1,,IMPNGS,,2019,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,IMPNGS,,2020,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,IMPNGS,,2021,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,IMPNGS,,2022,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,IMPNGS,,2023,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,IMPNGS,,2024,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,IMPNGS,,2025,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,IMPNGS,,2026,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,IMPNGS,,2027,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,IMPNGS,,2028,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,IMPNGS,,2029,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,IMPNGS,,2030,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,IMPNGS,,2031,,,,,,,,,,,0.6376044676152717,,,,,,
Scenario1,0,RE1,,IMPNGS,,2032,,,,,,,,,,,1.2395557445120562,,,,,,
Scenario1,0,RE1,,IMPNGS,,2033,,,,,,,,,,,1.7233339049728018,,,,,,
Scenario1,0,RE1,,IMPNGS,,2034,,,,,,,,,,,1.7233339049728018,,,,,,
Scenario1,0,RE1,,IMPNGS,,2035,,,,,,,,,,,2.3653879717822117,,,,,,
Scenario1,0,RE1,,IMPNGS,,2036,,,,,,,,,,,2.3653879717822117,,,,,,
Scenario1,0,RE1,,IMPNGS,,2037,,,,,,,,,,,2.3653879717822117,,,,,,
Scenario1,0,RE1,,IMPNGS,,2038,,,,,,,,,,,2.3653879717822117,,,,,,
Scenario1,0,RE1,,IMPNGS,,2039,,,,,,,,,,,2.3653879717822117,,,,,,
Scenario1,0,RE1,,IMPNGS,,2040,,,,,,,,,,,2.3653879717822117,,,,,,
Scenario1,0,RE1,,IMPNGS,,2041,,,,,,,,,,,2.3653879717822117,,,,,,
Scenario1,0,RE1,,IMPNGS,,2042,,,,,,,,,,,2.3653879717822117,,,,,,
Scenario1,0,RE1,,IMPNGS,,2043,,,,,,,,,,,2.3653879717822117,,,,,,
Scenario1,0,RE1,,IMPNGS,,2044,,,,,,,,,,,2.3653879717822117,,,,,,
Scenario1,0,RE1,,IMPNGS,,2045,,,,,,,,,,,2.365387971782212,,,,,,
Scenario1,0,RE1,,IMPNGS,,2046,,,,,,,,,,,2.365387971782212,,,,,,
Scenario1,0,RE1,,IMPNGS,,2047,,,,,,,,,,,2.365387971782212,,,,,,
Scenario1,0,RE1,,IMPNGS,,2048,,,,,,,,,,,2.365387971782212,,,,,,
Scenario1,0,RE1,,IMPNGS,,2049,,,,,,,,,,,2.365387971782212,,,,,,
Scenario1,0,RE1,,IMPNGS,,2050,,,,,,,,,,,2.365387971782212,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2019,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2020,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2021,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2022,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2023,,,,,,,,,,,0.0014,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2024,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2025,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2026,,,,,,,,,,,0.01,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2027,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2028,,,,,,,,,,,0.008000000000000002,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2029,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2030,,,,,,,,,,,0.04819999999999999,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2031,,,,,,,,,,,0.020000000000000004,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2032,,,,,,,,,,,0.010800000000000004,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2033,,,,,,,,,,,0.0030000000000000027,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2034,,,,,,,,,,,0.0059999999999999915,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2035,,,,,,,,,,,0.0003000000000000086,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2036,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2037,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2038,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2039,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2040,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2041,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2042,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2043,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2044,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2045,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2046,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2047,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2048,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2049,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2050,,,,,,,,,,,0.0,,,,,,
