coverage,density,mean,res dim,mass
1.0,0.0975609756097561,0.0975609756097561,0,1.0
1.0,0.10526315789473684,0.10526315789473684,1,0.926829268292683
1.0,0.1111111111111111,0.1111111111111111,1,0.8780487804878049
1.0,0.11764705882352941,0.11764705882352941,1,0.8292682926829268
1.0,0.125,0.125,1,0.7804878048780488
1.0,0.13333333333333333,0.13333333333333333,1,0.7317073170731707
1.0,0.14285714285714285,0.14285714285714285,1,0.6829268292682927
1.0,0.14814814814814814,0.14814814814814814,2,0.6585365853658537
