Scen_fut,gas_price_med,coal_price_med,wind_cf_mean,solar_cf_mean,thermal_avail_mean,discount_rate,capex_wind_2030,capex_solar_2030,total_system_cost
Scenario1_0,9.96,2.5,0.5266770833333334,0.17175833333333332,0.9270105263157894,0.097,1621.8,975.5,66857.90527977592
Scenario1_1,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.121,0.0,0.0,81583.2608529647
Scenario1_2,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.118,0.0,0.0,129172.31097876545
Scenario1_3,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.095,0.0,0.0,127702.79030429911
Scenario1_4,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.099,0.0,0.0,77737.17224664245
Scenario1_5,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.086,0.0,0.0,71954.5598063128
Scenario1_6,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.108,0.0,0.0,93514.39811166312
Scenario1_7,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.087,0.0,0.0,139283.7416791047
Scenario1_8,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.093,0.0,0.0,61737.41522682489
Scenario1_9,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.079,0.0,0.0,109109.84798589574
Scenario1_10,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.074,0.0,0.0,126087.53349058899
Scenario1_11,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.104,0.0,0.0,67182.15742195555
Scenario1_12,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.094,0.0,0.0,79077.10601116202
Scenario1_13,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.116,0.0,0.0,69799.29608034584
Scenario1_14,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.078,0.0,0.0,112368.85561354093
Scenario1_15,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.113,0.0,0.0,113570.2132313126
Scenario1_16,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.143,0.0,0.0,88393.78945653039
Scenario1_17,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.091,0.0,0.0,93203.59199563561
Scenario1_18,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.126,0.0,0.0,91144.64530404164
Scenario1_19,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.099,0.0,0.0,82574.15148554552
Scenario1_20,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.132,0.0,0.0,88683.28001132024
Scenario1_21,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.077,0.0,0.0,67228.54928489488
Scenario1_22,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.133,0.0,0.0,139226.90468255169
Scenario1_23,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.138,0.0,0.0,62450.54223805326
Scenario1_24,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.128,0.0,0.0,114495.357969588
Scenario1_25,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.139,0.0,0.0,118235.50664382937
Scenario1_26,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.08,0.0,0.0,107789.85670391175
Scenario1_27,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.145,0.0,0.0,105146.76592358483
Scenario1_28,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.106,0.0,0.0,104534.40135867367
Scenario1_29,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.087,0.0,0.0,101593.35049001257
Scenario1_30,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.082,0.0,0.0,97774.11341470909
Scenario1_31,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.09,0.0,0.0,69976.53656498618
Scenario1_32,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.13,0.0,0.0,110132.92439561109
Scenario1_33,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.085,0.0,0.0,78215.47900610097
Scenario1_34,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.119,0.0,0.0,85084.86180483733
Scenario1_35,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.084,0.0,0.0,119866.67929940938
Scenario1_36,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.089,0.0,0.0,121442.5919632799
Scenario1_37,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.11,0.0,0.0,83453.71596069279
Scenario1_38,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.096,0.0,0.0,117840.33625268133
Scenario1_39,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.075,0.0,0.0,103501.5245500257
Scenario1_40,0.0,0.0,0.4957694784288474,0.15585627817128136,0.051397264271384274,0.076,0.0,0.0,65617.2064745921
